name;tags
McDonald's;Fast Food
Dairy Queen;Fast Food
Sonic Drive-in;Fast Food
Long John Silver's;Fast Food
Taco Bell;Fast Food
Wendy's;Fast Food
Chick-fil-A;Fast Food
Arby's;Fast Food
Jack in the Box;Fast Food
Freddy's;Fast Food
Popeyes Louisiana Kitchen;Fast Food
Raising Cane's;Fast Food
Chipotle Mexican Grill;Fast Food
Five Guys;Fast Food
Burger King;Fast Food
Golden Chick;Fast Food
Wienerschnitzel;Fast Food
Bush's Chicken;Fast Food
KFC;Fast Food
Panda Express;Fast Food
Zaxby's;Fast Food
Shake Shack;Fast Food
Mighty Fine Burgers;Fast Food
Taco Cabana;Fast Food
In-N-Out Burger;Fast Food